nazev_suroviny,pocet_blokovanych_receptu,hromadka,navrh_cile_nebo_duvod
recky jogurt plnotucny,1,doplnit,"ve slovniku je jen recky a nizkotucny recky"
recky jogurt s vanilkou,1,doplnit,slazeny
reconstituted sun-dried tomatoes,1,alias,susena rajcata
reduced fat cheddar cheese,1,doplnit,"jiny obsah tuku nez cheddar"
refried fazole,1,doplnit,"smazene s tukem — lisi se od fazoli"
roast turkey,1,alias,kruti prsa
romano syr,1,doplnit,USDA
rosemary and thyme,1,zahodit,dve suroviny v jednom poli
rostlinne mleko,1,doplnit,"nelze urcit druh — sojove/mandlove/ovesne"
rum,1,doplnit,USDA
ruzova voda,1,zahodit,nulova vyziva
rybi filety,1,alias,bila ryba
rybi kolacek,1,doplnit,USDA
safran,1,doplnit,USDA
salsa,1,doplnit,USDA
seafood seasoning,1,zahodit,smes koreni — spiz
seasonings,1,zahodit,prilis obecne — spiz
silna kava,1,doplnit,USDA
smazeny cesnek,1,doplnit,"smazeny na tuku — lisi se od cesneku"
smes bobuloveho ovoce,1,doplnit,USDA
smes na dresink hidden valley ranch,1,zahodit,znackovy polotovar
smetanova houbova polevka,1,doplnit,USDA
smetanova kureci polevka,1,doplnit,USDA
snizenotucna smetana,1,doplnit,"jiny obsah tuku nez smetana"
soja omacka s nizkym obsahem sodiku,1,alias,sojova omacka
sou cream,1,doplnit,"preklep sour cream — zakysana smetana ve slovniku neni"
soy sauce,1,alias,sojova omacka
spring mix greens,1,alias,smes salatu
stava z citronu meyer,1,alias,citronova stava
stevie,1,doplnit,USDA
sugar,1,alias,cukr
susena cizrna,1,doplnit,"susena ma ~3x vic kcal na 100 g nez varena"
susene brusinky,1,doplnit,"susene se lisi od cerstvych brusinek"
suseny tymian,1,alias,tymian
swiss cheese,1,doplnit,USDA
syr brie,1,doplnit,USDA
syr gouda prima donna,1,doplnit,USDA
syr gruyere,1,doplnit,USDA
syr havarti,1,doplnit,USDA
t cream,1,zahodit,useknuty nazev
tarragon leaves,1,doplnit,"estragon ve slovniku neni"
tarragon stalks,1,zahodit,stonky se nejedi
tekuty kour,1,zahodit,nulova vyziva
testo na kolac,1,doplnit,USDA
testo na kolac o prumeru 23 cm,1,zahodit,rozmer v nazvu — chyba parsovani
testo na quiche,1,doplnit,USDA
thajska bazalka,1,alias,bazalka
to),1,zahodit,chyba parsovani
tortilla,1,doplnit,USDA
trocha maku,1,doplnit,"mak ve slovniku neni"
tuna,1,k_rozhodnuti,"ve slovniku je jen ""tunak (v konzerve)"" — cerstvy se lisi"
tvrdy syr,1,alias,syr
tzatziki,1,doplnit,USDA
udon s krevetami,1,zahodit,dve suroviny v jednom poli
ustricova omacka,1,doplnit,USDA
vajecny nahrazka,1,doplnit,USDA
vanilkova pasta,1,doplnit,USDA
vanilkovy lusk,1,doplnit,USDA
vanilkovy proteinovy prasek,1,alias,proteinovy prasek
vanilla almond granola,1,alias,granola
vanilla silk almond milk,1,doplnit,slazene
vanilla sugar,1,alias,cukr
veganske maslo,1,doplnit,USDA
veprova plec,1,doplnit,"jiny obsah tuku nez veprova panenka"
vino,1,k_rozhodnuti,"ve slovniku je bile i cervene — nelze urcit"
voda - prave tolik,1,zahodit,chyba parsovani
voda *2,1,zahodit,artefakt parsovani
voda minus 2 lzice & pridat 2,1,zahodit,chyba parsovani
wasabi paste,1,doplnit,USDA
watercress,1,doplnit,"rericha ve slovniku neni"
whip cream,1,alias,slehacka
zbytky kurete milanskeho stylu,1,zahodit,zbytek jineho jidla
zelena dyne,1,doplnit,USDA
zelene cibule,1,k_rozhodnuti,"POZOR: overovaci brana ho drive zamitla, prestrel 171 %"
zlate maliny,1,alias,maliny
