ab_crunch_machine|Zkracovačky na stroji
bicep_curl|Bicepsový zdvih
bodyweight_squat|Dřepy s vlastní vahou
cable_chest_press|Tlak na hrudník na kladce
cable_crossover|Stahování horních kladek
cable_crunch|Zkracovačky na kladce
cable_hammer_curls_rope_attachment|Kladivový zdvih s lanem
cable_hip_adduction|Přitahování na kladce
cable_incline_pushdown|Stahování kladky na šikmé lavici
cable_incline_triceps_extension|Tricepsová extenze na šikmé lavici na kladce
cable_internal_rotation|Vnitřní rotace ramene na kladce
cable_lying_triceps_extension|Tricepsová extenze vleže na kladce
cable_one_arm_tricep_extension|Tricepsová extenze na kladce jednoruč
cable_preacher_curl|Bicepsový zdvih na modlitebníku na kladce
cable_reverse_crunch|Zkracovačky na kladce obráceně
cable_rope_overhead_triceps_extension|Tricepsová extenze na kladce s lanem nad hlavou
cable_seated_crunch|Zkracovačky vsedě na kladce
cable_seated_lateral_raise|Upažování vsedě na kladce
cable_shoulder_press|Tlak nad hlavu na kladce
calf_press|Výpony na stroji
calf_press_on_the_leg_press_machine|Výpony na leg pressu
calf_raise|Zvedání na špičky
calf_raise_on_a_dumbbell|Výpony s jednoručkami
calf_raises_with_bands|Zvedání s gumou
chest_press|Chest press
chin_up|Shyby podhmatem
clean|Přemístění do dřepu
clean_deadlift|Mrtvý tah do přemístění
close_grip_barbell_bench_press|Tlak na lavici s velkou činkou úzkým úchopem
close_grip_dumbbell_press|Tlak s jednoručkami úzkým úchopem
close_grip_ez_bar_curl|Bicepsový zdvih s EZ osou úzkým úchopem
close_grip_ez_bar_curl_with_band|Bicepsový zdvih s EZ osou s gumou úzkým úchopem
close_grip_ez_bar_press|Tlak s EZ osou úzkým úchopem
close_grip_standing_barbell_curl|Bicepsový zdvih vestoje s velkou činkou úzkým úchopem
concentration_curls|Koncentrovaný zdvih
cross_over_with_bands|Stahování kladek s gumou
crunch_hands_overhead|Zkracovačky nad hlavou
dead_bug|Dead bug
deadlift|Mrtvý tah
decline_barbell_bench_press|Tlak na lavici na záporné lavici s velkou činkou
decline_close_grip_bench_to_skull_crusher|Francouzský tlak na záporné lavici na lavici úzkým úchopem
decline_dumbbell_bench_press|Tlak na lavici na záporné lavici s jednoručkami
decline_dumbbell_flyes|Rozpažování na záporné lavici s jednoručkami
decline_dumbbell_triceps_extension|Tricepsová extenze na záporné lavici s jednoručkami
decline_ez_bar_triceps_extension|Tricepsová extenze na záporné lavici s EZ osou
decline_smith_press|Tlak na záporné lavici ve Smithově stroji
dip_machine|Tricepsové kliky na bradlech na stroji
double_kettlebell_alternating_hang_clean|Přemístění ve visu s kettlebellem obouruč střídavě
double_kettlebell_jerk|Nadhoz s kettlebellem obouruč
double_kettlebell_push_press|Tlak nad hlavu s výrazem s kettlebellem obouruč
double_kettlebell_windmill|Větrný mlýn s kettlebellem obouruč
double_leg_butt_kick|Kopy obouruč
dumbbell_bench_press|Tlak na lavici s jednoručkami
dumbbell_bench_press_with_neutral_grip|Tlak na lavici s jednoručkami neutrálním úchopem
dumbbell_clean|Přemístění s jednoručkami
dumbbell_flyes|Rozpažování s jednoručkami
dumbbell_incline_row|Přítahy na šikmé lavici s jednoručkami
dumbbell_incline_shoulder_raise|Zvedání na šikmé lavici s jednoručkami
dumbbell_lunges|Výpady s jednoručkami
dumbbell_press|Tlak s jednoručkami na rovné lavici
dumbbell_raise|Zvedání s jednoručkami
dumbbell_row|Přítahy s jednoručkou
dumbbell_seated_box_jump|Výskoky na bednu vsedě s jednoručkami
dumbbell_seated_one_leg_calf_raise|Výpony vsedě s jednoručkami jednonož
dumbbell_side_bend|Úklony s jednoručkami
dumbbell_squat|Dřepy s jednoručkami
dumbbell_squat_to_a_bench|Dřepy na lavici s jednoručkami
dumbbell_tricep_extension_pronated_grip|Tricepsová extenze s jednoručkami nadhmatem
external_rotation|Vnější rotace ramene
external_rotation_with_band|Vnější rotace ramene s gumou
external_rotation_with_cable|Vnější rotace ramene na kladce
ez_bar_curl|Bicepsový zdvih s EZ osou
face_pull|Face pull
farmer_carry|Farmer carry
front_raise_and_pullover|Předpažování
glute_kickback|Zapažování
goblet_squat|Goblet dřep
good_morning|Předklony s činkou
hack_squat|Hack dřep
hamstring_curl|Zakopávání vleže
hanging_bar_good_morning|Předklony s činkou ve visu s osou
hip_extension_with_bands|Extenze s gumou
incline_bench_pull|Přítah na šikmé lavici na lavici
incline_cable_chest_press|Tlak na hrudník na šikmé lavici na kladce
incline_push_up|Kliky na šikmé lavici
incline_push_up_close_grip|Kliky na šikmé lavici úzkým úchopem
incline_push_up_medium|Kliky na šikmé lavici středním úchopem
incline_push_up_reverse_grip|Kliky na šikmé lavici podhmatem
incline_push_up_wide|Kliky na šikmé lavici širokým úchopem
internal_rotation_with_band|Vnitřní rotace ramene s gumou
kettlebell_arnold_press|Arnoldův tlak s kettlebellem
kettlebell_hang_clean|Přemístění ve visu s kettlebellem
kettlebell_one_legged_deadlift|Mrtvý tah s kettlebellem jednonož
kettlebell_pistol_squat|Pistol dřep s kettlebellem
kettlebell_seated_press|Tlak vsedě s kettlebellem
kettlebell_windmill|Větrný mlýn s kettlebellem
kneeling_cable_crunch_with_alternating_oblique_twists|Zkracovačky v kleku na kladce střídavě
kneeling_high_pulley_row|Přítahy v kleku na horní kladce
kneeling_jump_squat|Výskoky z dřepu v kleku
kneeling_single_arm_high_pulley_row|Přítahy v kleku na horní kladce jednoruč
kneeling_squat|Dřepy v kleku
lat_pulldown|Stahování na kladce
lateral_raise|Rozpažky
lateral_raise_with_bands|Upažování s gumou
leg_press|Tlaky nohama
leverage_chest_press|Tlak na hrudník na stroji
leverage_deadlift|Mrtvý tah na stroji
leverage_decline_chest_press|Tlak na hrudník na záporné lavici na stroji
leverage_incline_chest_press|Tlak na hrudník na šikmé lavici na stroji
leverage_shoulder_press|Tlak nad hlavu na pákovém stroji
low_cable_crossover|Stahování spodních kladek
lunges|Výpady
lying_close_grip_bar_curl_on_high_pulley|Bicepsový zdvih vleže s osou na horní kladce úzkým úchopem
lying_leg_curls|Zakopávání vleže na stroji
machine_shoulder_military_press|Tlak nad hlavu na stroji
machine_triceps_extension|Tricepsová extenze na stroji
middle_back_shrug|Krčení ramen
mountain_climber|Mountain climber
one_arm_dumbbell_row|Přítahy s jednoručkami jednoruč
one_arm_high_pulley_cable_side_bends|Úklony na horní kladce na kladce jednoruč
one_arm_kettlebell_clean|Přemístění s kettlebellem jednoruč
one_arm_kettlebell_floor_press|Tlak na zemi s kettlebellem jednoruč
one_arm_kettlebell_row|Přítahy s kettlebellem jednoruč
one_arm_long_bar_row|Přítahy s osou jednoruč
one_arm_overhead_kettlebell_squats|Dřepy s kettlebellem jednoruč nad hlavou
one_legged_cable_kickback|Zapažování na kladce jednonož
plank|Prkno
power_clean|Přemístění do stoje
pull_up|Shyby / Přítahy
push_up_to_side_plank|Klik s přechodem do bočního prkna
push_up_wide|Kliky širokým úchopem
push_ups_with_feet_elevated|Kliky se zvýšenou podložkou
pushup|Kliky
reverse_cable_curl|Bicepsový zdvih na kladce obráceně
reverse_machine_flyes|Rozpažování na stroji obráceně
romanian_deadlift|Rumunský mrtvý tah
russian_twist|Russian twist
seated_barbell_twist|Rotace trupu vsedě s velkou činkou
seated_bent_over_one_arm_dumbbell_triceps_extension|Tricepsová extenze vsedě v předklonu s jednoručkami jednoruč
seated_calf_raise|Výpony vsedě
seated_leg_curl|Zakopávání vsedě
seated_triceps_press|Tlak vsedě
shoulder_press_with_bands|Tlak nad hlavu s gumou
single_arm_cable_crossover|Stahování kladek jednoruč
single_leg_butt_kick|Kopy jednonož
single_leg_glute_bridge|Most na hýždě jednonož
single_leg_leg_extension|Předkopávání jednonož
smith_incline_shoulder_raise|Zvedání na šikmé lavici ve Smithově stroji
smith_machine_bent_over_row|Přítahy v předklonu ve Smithově stroji
smith_machine_calf_raise|Výpony ve Smithově stroji
smith_machine_close_grip_bench_press|Tlak na lavici ve Smithově stroji úzkým úchopem
smith_machine_hip_raise|Zvedání pánve ve Smithově stroji
smith_machine_one_arm_upright_row|Přítahy k bradě ve Smithově stroji jednoruč
smith_machine_overhead_shoulder_press|Tlak nad hlavu ve Smithově stroji nad hlavou
smith_machine_reverse_calf_raises|Zvedání ve Smithově stroji obráceně
smith_machine_squat|Dřepy ve Smithově stroji
smith_machine_stiff_legged_deadlift|Mrtvý tah ve Smithově stroji s napnutýma nohama
smith_single_leg_split_squat|Dřep v rozštěpu ve Smithově stroji jednonož
split_squat_with_dumbbells|Dřep v rozštěpu s jednoručkami
squat|Dřepy
squats_with_bands|Dřepy s gumou
standing_barbell_calf_raise|Výpony vestoje s velkou činkou
standing_biceps_cable_curl|Bicepsový zdvih vestoje na kladce
standing_dumbbell_calf_raise|Výpony vestoje s jednoručkami
standing_leg_curl|Zakopávání vestoje
standing_long_jump|Výskoky vestoje
standing_military_press|Tlak nad hlavu vestoje
standing_overhead_barbell_triceps_extension|Tricepsová extenze vestoje s velkou činkou nad hlavou
stiff_legged_dumbbell_deadlift|Mrtvý tah s jednoručkami s napnutýma nohama
superman|Superman
two_arm_kettlebell_row|Přítahy s kettlebellem obouruč
